widget_title,widget_description,url_loc
Ergonomic: Lifting techniques,Proper lifting techniques from Rising Workplace Training,./files/Safety/Ergonomic Resource Library/Handout-Proper-Lifting-Techniques TRW.pdf
Sexual Harassment Brief Training 2023,Sexual Harssment Vessel Briefing 2023,./files/Sexual Harassment/Harassment_vessel_briefing_2023.pptx
Haul forms,Haul forms for FPCs,./files/Collections/haul_catch_specimen_forms/haulforms
HAZMAT Items NOT to pack,Do not pack these Dangerous Goods for shipping,./files/Shipping-Hazmat/Do not pack these Dangerous Goods.pdf
HAZMAT Shipping Guidelines,Shipping guidelines for dangerous goods,./files/Shipping-Hazmat/hazmat_shipping_guide.pdf
Headphones Manual Folder,Manuals for Bluetooth headphones,./files/Manuals/Bluetooth_Devices/Headphones/
GAPsurvey: Historical catch data,Instructions for viewing historical catch data from surveys using the GAPsurvey R package,./files/Manuals/R/GAPsurvey/docs/reference/get_catch_haul_history.html
BCS Resources Folder,HOBO Lite Bottom Contact Sensor (BCS) resources folder,./files/Manuals/Bottom contact sensor
Cod and pollock data condition data sheet,Fish condition fatmeter data collection sheet form,./files/Collections/cod data collection sheet.pdf
Tablet Guides: Install and Uninstall,How to install and uninstall tablet applications apps,./files/Manuals/Apps Software/IntroToCatchApp MS Powerpoints/InstallUninstallApps.pdf
Wheelhouse: Installation,How to install Wheelhouse updates,./files/Manuals/Calypso_Wheelhouse/Wheelhouse update/Wheelhouse_installing_updates.pdf
Wheelhouse: Log a haul,How to log a haul with Wheelhouse and Calypso (updated 2022-08-12),./files/Manuals/Calypso_Wheelhouse/Log hauls during survey.pdf
Printer Drivers,HP1006 Printer Drivers,./files/Software/HP1006_drivers
Hyperterm ,Hyperterm software for Windows 7,./files/Software/Hyperterm
ID Automation HC39M Code 39 Barcode (ttf), Barcode font file (.ttf),./files/Manuals/Bluetooth_Devices/Barcodes/IDAutomationHC39M Code 39 Barcode.ttf
"Incident, Illness, Accident & EMERGENCY Flow Chart","Incident, Illness, Accident & EMERGENCY Flow Chart",../files/Safety/Accidents/Accidents.pdf
Wheelhouse: Insert GIDES data,,./files/Manuals/Calypso_Wheelhouse/InstructionsforExtractingGIDESdatatoInsertintoWHEELHOUSE.docx
Inter-leg Communication Log,AFSC RACE Groundfish Survey Inter-Leg Communcation Log,./files/Manuals/miscellaneous/Inter-Leg Communication Log.pdf
IPHC Sampling Manual,International Pacific Halibut Commission Sampling Manual,./files/Collections/Special Projects BS/2023/IPHC Sampling Manual- NOAA Trawl Survey (2023).pdf
Tablet Guides: Length and Specimen App Handbook,Length and Specimen Appplication Apps Handbook,./files/Manuals/Apps Software/20200401_Length and Specimen App Handbook.pdf
Length and specimen barcodes,Length and Specimen Tab Barcodes 5/2017 (xlsx),./files/Manuals/Bluetooth_Devices/Barcodes/LENG & SPEC TAB barcodes 2017 May.xlsx
Length App Barcodes,Length Application Apps barcode,./files/Manuals/Bluetooth_Devices/Barcodes/LENGTH App barcodes v2017.pdf
Light meter instructions,Wildlife Computers MK9 Archival Tag Light Meter deployment and packing instructions,./files/Manuals/Light meters/Wildlife Computers MK9 Stan/Light meter instuctions 2018.pdf
Light meter folder,Wildlife Computers MK9 Archival Tag Resources and Software Folder,./files/Manuals/Light meters
Calypso lvanlys.dll,Calypso lvanlys.dll,./files/Manuals/Calypso_Wheelhouse/Calypso Software/lvanlys.dll
Tablet Guides: Length and Specimen App Handbook,Length and Specimen Appplication Apps Handbook,./files/Manuals/Apps Software/Length_SpecimenAppHandbook_v20200115.pdf
Marel Scale Calibration,Folder with Marel scale manuals,./files/manuals/MAREL_scales/
Marine Mammal Data Collection,Marine mammal data collection slides from protected species training,./files/SpeciesID/protected_species/Training/MARINE MAMMALS_Survey.pptx
